ten_chat,mo_ta,loi_ich,anh_huong_nguon,chong_chi_dinh,nen_su_dung_nhu_the_nao
Vitamin B12 (Cobalamin),"Cần cho tạo máu và chức năng thần kinh, hấp thu phụ thuộc nội tiết tố dạ dày.",Phòng thiếu máu hồng cầu to và tổn thương thần kinh.,"Thiếu gặp ở người ăn chay nghiêm ngặt, người cao tuổi; nguồn: thực phẩm động vật.","An toàn, thận trọng khi dùng metformin (giảm hấp thu).",Bổ sung đường uống hoặc tiêm cho người thiếu; kiểm tra nồng độ.
Canxi,"Khoáng chính của xương, tham gia co cơ và dẫn truyền thần kinh.",Hỗ trợ sức khoẻ xương và chức năng thần kinh-cơ.,"Thừa có thể gây sỏi thận; tương tác hấp thu với sắt và một số thuốc; nguồn: sữa, cá nhỏ.",Tránh bổ sung quá mức nếu đã có tăng calci huyết.,Uống chia liều; kết hợp vitamin D để hấp thu tốt.
Sắt,Vi khoáng cần cho tổng hợp hemoglobin và vận chuyển oxy.,Phòng và điều trị thiếu máu thiếu sắt.,"Bổ sung có thể gây táo bón, buồn nôn; thừa gây quá tải sắt; nguồn: thịt đỏ, phủ tạng, đậu.",Người bệnh ứ sắt (hemochromatosis) tránh bổ sung không kiểm soát.,Uống với vitamin C để tăng hấp thu; tránh cùng sữa hoặc thuốc kháng acid.
I-ốt,Cần cho tổng hợp hormone tuyến giáp và phát triển não bộ thai nhi.,Phòng bướu cổ và suy giáp do thiếu iốt.,"Thừa có thể gây rối loạn chức năng tuyến giáp; nguồn: muối i-ốt, hải sản.","Tránh bổ sung liều cao không có chỉ định, thận trọng bệnh tự miễn tuyến giáp.",Đảm bảo dùng muối i-ốt theo khuyến nghị; không quá liều.
Kẽm,"Vi khoáng tham gia hơn 300 enzym, quan trọng cho miễn dịch và lành vết thương.","Tăng miễn dịch, giúp lành vết thương và tăng trưởng.","Liều cao gây thiếu đồng; nguồn: hàu, thịt, đậu.",Tránh bổ sung kéo dài liều cao mà không theo dõi.,Dùng theo khuyến nghị; tránh dùng liên tục liều cao >40 mg/ngày.
Magie,"Khoáng tham gia chức năng thần kinh, co cơ và hơn 300 phản ứng enzym.","Hỗ trợ cơ, thần kinh và sức khoẻ tim mạch.","Thừa gây tiêu chảy; nguồn: hạt, đậu, rau lá xanh.",Thận trọng suy thận nặng.,Bổ sung theo chỉ định; chia liều nếu dùng viên lớn.
Phospho,"Khoáng cấu tạo xương, ATP và tham gia nhiều quá trình sinh học.",Cần cho cấu trúc xương và chuyển hoá năng lượng.,"Quá nhiều có thể ảnh hưởng cân bằng canxi; nguồn: thực phẩm giàu protein, đồ đóng gói.",Thận trọng ở bệnh nhân suy thận.,Đảm bảo cân bằng với canxi; tránh lạm dụng thực phẩm chế biến nhiều phosphat.
Selen (Selenium),Vi khoáng với vai trò chống oxy hoá và trong enzym peroxidase.,Hỗ trợ chức năng tuyến giáp và chống oxy hoá.,"Thừa gây độc (rụng tóc, thay móng); nguồn: hạt brazil, hải sản.",Không dùng liều cao lâu dài mà không theo dõi.,Dùng theo khuyến nghị; không vượt quá UL.
Đường (Sucrose),Carbohydrate đơn giản cung cấp năng lượng nhanh.,Cung cấp năng lượng nhanh; làm tăng vị ngọt và hấp thụ nhanh.,"Tiêu thụ nhiều gây tăng cân, sâu răng, nguy cơ chuyển hoá (tiểu đường).","Hạn chế ở người tiểu đường, béo phì.","Hạn chế lượng, ưu tiên nguồn carbohydrate phức tạp và trái cây."
Tinh bột (Starch),"Carbohydrate phức tạp trong ngũ cốc, khoai củ, là nguồn năng lượng lâu dài.",Cung cấp năng lượng bền vững và cảm giác no.,"Chế biến quá mức có thể tăng chỉ số đường huyết; nguồn: gạo, khoai, ngô.",Hạn chế tinh bột tinh chế ở người cần kiểm soát đường huyết.,"Ưu tiên ngũ cốc nguyên cám, chế biến ít tinh chế."
Chất xơ (Fiber),"Chất không tiêu hoá trong thực phẩm thực vật, gồm hoà tan và không hoà tan.","Hỗ trợ tiêu hoá, giảm cholesterol, ổn định đường huyết.","Quá nhiều đột ngột gây đầy hơi; nguồn: rau, trái cây, ngũ cốc nguyên cám.",Người tắc ruột hoặc cần hạn chế theo chỉ định y tế thận trọng.,"Tăng dần lượng, uống đủ nước, ưu tiên từ thực phẩm."
Trứng,"Thực phẩm giàu protein chất lượng cao, nhiều vitamin và khoáng chất.","Cung cấp protein, choline, vitamin D, B12; hỗ trợ phát triển cơ và chức năng thần kinh.","Trứng chứa cholesterol; ăn quá nhiều có thể ảnh hưởng lipid ở một số người; nguồn: trứng gà, vịt.",Người dị ứng trứng tránh; cẩn trọng ở người tăng cholesterol cá nhân.,Ăn vừa phải (ví dụ <=1 trứng/ngày) tùy tình trạng cá nhân; nấu chín kỹ.
Sữa và sản phẩm sữa,"Nguồn protein, canxi và vitamin nhóm B; bao gồm sữa tươi, sữa chua, phô mai.","Hỗ trợ phát triển xương, cung cấp protein và canxi.","Người không dung nạp lactose có thể đau bụng; nguồn: sữa bò, dê.",Không dùng ở người dị ứng protein sữa; hạn chế nếu không dung nạp lactose nặng.,Chọn sản phẩm lên men (sữa chua) giúp tiêu hoá; dùng sữa tách béo nếu cần kiểm soát năng lượng.
Protein (chung),Chuỗi acid amin cấu thành mô và enzym; nguồn: thực phẩm động vật và thực vật.,"Xây dựng và sửa chữa mô, enzyme và hormone.",Thiếu protein gây suy dinh dưỡng; thừa lâu dài có thể ảnh hưởng thận ở người có bệnh thận.,Thận trọng nếu suy thận nặng.,"Phân bổ đều trong ngày, kết hợp nguồn thực vật và động vật."
Cholesterol,Lipid cấu tạo màng tế bào và tiền chất hormone; cơ thể tự tổng hợp một phần.,Cần cho chức năng sinh lý nhưng dư thừa liên quan bệnh tim mạch.,"Mức LDL cao tăng nguy cơ xơ vữa; nguồn: thực phẩm chứa mỡ động vật, lòng đỏ trứng.",Người rối loạn lipid hạn chế thực phẩm giàu cholesterol và bão hòa.,Kiểm soát lượng chất béo bão hòa; ưu tiên chất béo không bão hòa.
Chất béo bão hòa,"Acid béo thường ở dạng rắn ở nhiệt độ phòng, có trong mỡ động vật và dầu cọ.",Cung cấp năng lượng và cấu trúc màng tế bào.,Tiêu thụ nhiều làm tăng LDL và nguy cơ tim mạch.,Hạn chế ở người có nguy cơ tim mạch.,"Giảm lượng, thay bằng dầu thực vật chứa không bão hòa."
